folder,image,predicted_fuel_flow,predicted_diluent_flow,expected_fuel_flow,expected_diluent_flow
S7D1150,DSC_5032.JPG,1601.7396009267359,1057.0149179686268,1150,700
S7D1150,DSC_5033.JPG,1575.6732103172071,1147.160201799259,1150,700
S7D1150,DSC_5034.JPG,1651.9880578815755,1034.8086472856012,1150,700
S7D1150,DSC_5035.JPG,1614.6785586330552,1033.882283680363,1150,700
S7D1150,DSC_5036.JPG,1555.8443133229866,1033.0847900305125,1150,700
S7D1150,DSC_5037.JPG,1650.6663791275896,1004.2783093483904,1150,700
S7D1150,DSC_5038.JPG,1643.389696790775,1005.9531414723024,1150,700
S7D1150,DSC_5039.JPG,1543.6031023435808,1087.5116860779526,1150,700
S7D1150,DSC_5040.JPG,1588.2737645142843,1095.8884150052654,1150,700
S7D1150,DSC_5041.JPG,1536.0559324369478,1137.8682916332073,1150,700
S7D1350,DSC_4997.JPG,1594.6171774121867,1089.0609438626198,1350,700
S7D1350,DSC_4998.JPG,1665.9638430231316,904.8914587293402,1350,700
S7D1350,DSC_4999.JPG,1615.777920057124,995.8477823285903,1350,700
S7D1350,DSC_5000.JPG,1679.3678226458323,906.2469342847944,1350,700
S7D1350,DSC_5001.JPG,1635.500683916409,952.5377041117536,1350,700
S7D1350,DSC_5002.JPG,1602.805369712176,923.6104675084716,1350,700
S7D1350,DSC_5003.JPG,1679.7314250893032,1012.3751381874135,1350,700
S7D1350,DSC_5004.JPG,1685.0886222727677,966.8488149353252,1350,700
S7D1350,DSC_5005.JPG,1639.5667297676227,967.1900589406505,1350,700
S7D1350,DSC_5006.JPG,1515.4520078259393,871.2931749035706,1350,700
S7D1350,DSC_5007.JPG,1656.0043117792993,950.4438741699269,1350,700
S7D1350,DSC_5008.JPG,1606.5755508490583,857.4340407877316,1350,700
S7D1350,DSC_5009.JPG,1548.7087022473843,888.8307393879895,1350,700
S7D1350,DSC_5010.JPG,1614.9962541072382,961.8141817029009,1350,700
S7D1350,DSC_5011.JPG,1546.0000663121991,900.8356689481843,1350,700
S7D1350,DSC_5012.JPG,1624.333118617018,916.2006269007634,1350,700
S7D1350,DSC_5013.JPG,1566.7101240581433,838.3207172191778,1350,700
S7D1350,DSC_5014.JPG,1603.0975989367034,904.0401897153897,1350,700
S7D1350,DSC_5015.JPG,1597.5760384078421,954.0598923872731,1350,700
S7D1350,DSC_5016.JPG,1583.5487148520078,997.0537960098591,1350,700
S7D1350,DSC_5017.JPG,1569.8676895210192,976.6748876572019,1350,700
S7D1350,DSC_5018.JPG,1568.6142653059978,956.5226267816397,1350,700
S7D1350,DSC_5019.JPG,1716.2442530819826,908.5588431017441,1350,700
S8D1150,DSC_4953.JPG,1638.7224585447912,1186.4018987084346,1150,800
S8D1150,DSC_4954.JPG,1656.0157528795644,1120.0094613958063,1150,800
S8D1150,DSC_4955.JPG,1676.3269492772488,1107.8614111814531,1150,800
S8D1150,DSC_4956.JPG,1621.7052119407126,1150.5251849800516,1150,800
S8D1150,DSC_4957.JPG,1611.441707414604,1187.1967104085961,1150,800
S8D1150,DSC_4958.JPG,1621.0354976915514,1187.175800292378,1150,800
S8D1150,DSC_4959.JPG,1701.7812232015676,1027.7365732399776,1150,800
S8D1150,DSC_4960.JPG,1629.0177501867693,1116.3756468512875,1150,800
S8D1150,DSC_4961.JPG,1621.6344268157081,1201.2291712051738,1150,800
S8D1150,DSC_4962.JPG,1638.468277216005,1145.4383446422435,1150,800
S8D1150,DSC_4963.JPG,1607.69718855869,1171.5984910182488,1150,800
S8D1150,DSC_4964.JPG,1703.3239896345076,1160.5371759091722,1150,800
S8D1150,DSC_4965.JPG,1640.672560225019,1124.3315824180972,1150,800
S8D1150,DSC_4966.JPG,1648.1334050698388,1147.8911467314065,1150,800
S8D1150,DSC_4967.JPG,1624.2305229562298,1132.4458893868723,1150,800
S8D1150,DSC_4968.JPG,1684.851798625692,1092.6930310497119,1150,800
S8D1150,DSC_4969.JPG,1603.3472359032348,1149.9915679055193,1150,800
S8D1150,DSC_4970.JPG,1643.3898037169456,1167.2246856434795,1150,800
S8D1150,DSC_4971.JPG,1694.0733432603702,1099.8419725008243,1150,800
S8D1150,DSC_4972.JPG,1610.416944815628,1152.8639814790513,1150,800
S8D1350,DSC_4974.JPG,1611.5122430452102,1026.429054581502,1350,800
S8D1350,DSC_4975.JPG,1549.3592945330183,1046.284573633864,1350,800
S8D1350,DSC_4976.JPG,1549.1035805957854,1000.5571496118864,1350,800
S8D1350,DSC_4977.JPG,1592.6512684797235,1065.5283354165222,1350,800
S8D1350,DSC_4978.JPG,1563.2084969094922,1003.025975214021,1350,800
